Table with column headers in rows 2 through 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,101,Idaho,Ada County,Colorado,Pueblo County,90,98,0,28,90,98,90,98,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,107,Idaho,Ada County,Colorado,Routt County,6,9,0,22,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
016,001,008,125,Idaho,Ada County,Colorado,Yuma County,13,22,0,19,13,22,13,22,,,,,,,,,,,,,,,,,,,,,,,,
016,001,009,013,Idaho,Ada County,Connecticut,Tolland County,24,29,0,28,24,29,24,29,,,,,,,,,,,,,,,,,,,,,,,,
016,001,011,001,Idaho,Ada County,District of Columbia,District of Columbia,18,30,142,99,-124,86,160,119,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,009,Idaho,Ada County,Florida,Brevard County,0,28,7,13,-7,13,7,13,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,011,Idaho,Ada County,Florida,Broward County,0,28,16,27,-16,27,16,27,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,019,Idaho,Ada County,Florida,Clay County,0,28,15,25,-15,25,15,25,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,031,Idaho,Ada County,Florida,Duval County,0,28,6,10,-6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,033,Idaho,Ada County,Florida,Escambia County,1,2,130,118,-129,118,131,118,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,035,Idaho,Ada County,Florida,Flagler County,0,28,15,23,-15,23,15,23,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,057,Idaho,Ada County,Florida,Hillsborough County,0,28,51,82,-51,82,51,82,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,071,Idaho,Ada County,Florida,Lee County,0,28,11,19,-11,19,11,19,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,091,Idaho,Ada County,Florida,Okaloosa County,0,28,8,14,-8,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,095,Idaho,Ada County,Florida,Orange County,1,2,5,14,-4,14,6,14,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,099,Idaho,Ada County,Florida,Palm Beach County,22,34,39,50,-17,62,61,60,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,101,Idaho,Ada County,Florida,Pasco County,0,28,32,35,-32,35,32,35,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,105,Idaho,Ada County,Florida,Polk County,118,257,0,31,118,257,118,257,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,109,Idaho,Ada County,Florida,St. Johns County,0,28,7,12,-7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
016,001,012,115,Idaho,Ada County,Florida,Sarasota County,0,28,108,138,-108,138,108,138,,,,,,,,,,,,,,,,,,,,,,,,
016,001,013,021,Idaho,Ada County,Georgia,Bibb County,0,28,48,53,-48,53,48,53,,,,,,,,,,,,,,,,,,,,,,,,
016,001,013,051,Idaho,Ada County,Georgia,Chatham County,0,28,84,114,-84,114,84,114,,,,,,,,,,,,,,,,,,,,,,,,
